iter	Passed	Remaining
0	2	229
1	4	234
2	7	234
3	9	221
4	11	218
5	13	216
6	16	215
7	19	219
8	21	217
9	23	211
10	25	206
11	27	199
12	28	193
13	30	187
14	32	185
15	34	181
16	36	178
17	38	173
18	39	169
19	41	166
20	43	163
21	45	159
22	47	157
23	48	154
24	50	151
25	52	148
26	53	145
27	55	143
28	57	140
29	59	137
30	60	135
31	62	133
32	64	130
33	66	128
34	67	125
35	69	123
36	71	120
37	73	119
38	74	116
39	76	114
40	77	112
41	78	108
42	80	106
43	82	104
44	83	102
45	85	100
46	87	98
47	89	96
48	90	94
49	92	92
50	94	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	105	76
58	107	74
59	109	72
60	110	70
61	112	68
62	114	67
63	116	65
64	118	63
65	120	62
66	122	60
67	123	58
68	125	56
69	127	54
70	129	52
71	130	50
72	132	49
73	134	47
74	135	45
75	137	43
76	139	41
77	141	39
78	143	38
79	144	36
80	146	34
81	148	32
82	149	30
83	151	28
84	153	27
85	155	25
86	157	23
87	158	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	169	10
94	171	9
95	172	7
96	174	5
97	176	3
98	177	1
99	179	0
